TQ4,50.4228675,-3.5722576
M50,53.4749848,-2.2944426
PA30,56.0133320,-5.4494977
TS29,54.7107686,-1.4202463
BS13,51.4120999,-2.6119989
PL9,50.3547404,-4.0872280
LA15,54.1558463,-3.1796666
DA13,51.3784991,0.3518275
BS41,51.4220916,-2.6534866
TS3,54.5605009,-1.1968742
G70,55.9498770,-3.9879809
EH17,55.9054568,-3.1436333
PA38,56.5953129,-5.3282856
HA6,51.6118666,-0.4224386
IV15,57.5993429,-4.4314883
BT16,54.5906801,-5.7976783
GU16,51.3095532,-0.7260287
DD10,56.7487217,-2.4270468
BH14,50.7214367,-1.9445851
PH10,56.6069517,-3.3593082
N14,51.6343428,-0.1308896
B15,52.4661665,-1.9233802
SS17,51.5216078,0.4376424
KA1,55.5952480,-4.4975073
TW15,51.4311588,-0.4585262
SP6,50.9365589,-1.8023782
BH25,50.7528300,-1.6579866
CA12,54.6025378,-3.1344633
AB51,57.2876297,-2.4038270
TN26,51.0964754,0.7973580
NE42,54.9620117,-1.8548407
NE70,55.5937070,-1.8171698
BD9,53.8128852,-1.7924051
EX39,51.0152570,-4.2457737
WS6,52.6585504,-2.0231546
G4,55.8676044,-4.2523731
GU4,51.2432497,-0.5403949
NE18,55.0378909,-1.8649114
G9,55.8687400,-4.2434910
CV12,52.4789841,-1.4724008
BT40,54.8457073,-5.8237859
B3,52.4850123,-1.9024305
WF11,53.7117458,-1.2561796
PO13,50.8122549,-1.1810192
YO12,54.2733410,-0.4249517
NE27,55.0329496,-1.5149818
SE28,51.5023617,0.1044350
WS1,52.5794509,-1.9786869
BN3,50.8352718,-0.1777197
CH32,53.3619659,-2.9976234
ME17,51.2331334,0.6111241
M30,53.4843432,-2.3551494
CB11,51.9992272,0.2120024
S70,53.5411537,-1.4749041
CA23,54.5152203,-3.4929534
TA18,50.8829255,-2.7874829
TR19,50.1001216,-5.6316273
GU47,51.3494201,-0.7920355
CB8,52.2302078,0.4279081
LN5,53.1742178,-0.5568934
TN11,51.2070078,0.2646847
NE47,54.9286141,-2.2549406
WC2N,51.5090810,-0.1248873
WS14,52.6640162,-1.8161526
RG21,51.2648843,-1.0886279
IP29,52.1908970,0.6587294
LS18,53.8386122,-1.6395178
CF14,51.5198959,-3.2042721
SY8,52.3650723,-2.6953443
TD6,55.5818814,-2.6932118
KW16,58.9608956,-3.2768723
